kind,name_a,name_b,detail,prices_match,prices_a,prices_b
price disagreement,Lattafa Khamrah,,"Decant Sheet Men-UNISEX row 454: {'3ml': 160, '5ml': 230, '8ml': 330, '10ml': 420, '20ml': 780, '30ml': 1070} | For Women row 80: {'5ml': 190, '8ml': 300, '10ml': 370, '20ml': 680, '30ml': 930}",False,"{'3ml': 160, '5ml': 230, '8ml': 330, '10ml': 420, '20ml': 780, '30ml': 1070}","{'5ml': 190, '8ml': 300, '10ml': 370, '20ml': 680, '30ml': 930}"
price disagreement,Lattafa Khamrah Qahwa,,"Decant Sheet Men-UNISEX row 452: {'3ml': 160, '5ml': 230, '8ml': 330, '10ml': 420, '20ml': 780, '30ml': 1070} | For Women row 79: {'5ml': 190, '8ml': 300, '10ml': 370, '20ml': 680, '30ml': 930}",False,"{'3ml': 160, '5ml': 230, '8ml': 330, '10ml': 420, '20ml': 780, '30ml': 1070}","{'5ml': 190, '8ml': 300, '10ml': 370, '20ml': 680, '30ml': 930}"
one copy lists more sizes,Lattafa Mashrabya,,"Decant Sheet Men-UNISEX row 464: {'3ml': 130, '5ml': 170, '8ml': 240, '10ml': 320} | For Women row 77: {'5ml': 170, '8ml': 240, '10ml': 320, '30ml': 840}",False,"{'3ml': 130, '5ml': 170, '8ml': 240, '10ml': 320}","{'5ml': 170, '8ml': 240, '10ml': 320, '30ml': 840}"
"listed twice, same prices",Lattafa Musamam White Intense,,"Decant Sheet Men-UNISEX row 467: {'3ml': 170, '5ml': 250, '8ml': 370, '10ml': 470, '20ml': 860, '30ml': 1190} | For Women row 87: {'3ml': 170, '5ml': 250, '8ml': 370, '10ml': 470, '20ml': 860, '30ml': 1190}",True,"{'3ml': 170, '5ml': 250, '8ml': 370, '10ml': 470, '20ml': 860, '30ml': 1190}","{'3ml': 170, '5ml': 250, '8ml': 370, '10ml': 470, '20ml': 860, '30ml': 1190}"
price disagreement,Lattafa Nebras,,"Decant Sheet Men-UNISEX row 446: {'3ml': 140, '5ml': 190, '8ml': 300, '10ml': 370, '20ml': 700, '30ml': 970} | For Women row 89: {'5ml': 200, '8ml': 300, '10ml': 380, '20ml': 660, '30ml': 920}",False,"{'3ml': 140, '5ml': 190, '8ml': 300, '10ml': 370, '20ml': 700, '30ml': 970}","{'5ml': 200, '8ml': 300, '10ml': 380, '20ml': 660, '30ml': 920}"
price disagreement,Lattafa Nebras Elixir,,"Decant Sheet Men-UNISEX row 463: {'3ml': 140, '5ml': 190, '8ml': 300, '10ml': 370} | For Women row 90: {'5ml': 200, '8ml': 300, '10ml': 380, '20ml': 660, '30ml': 920}",False,"{'3ml': 140, '5ml': 190, '8ml': 300, '10ml': 370}","{'5ml': 200, '8ml': 300, '10ml': 380, '20ml': 660, '30ml': 920}"
price disagreement,Lattafa Teriaq Intense,,"Decant Sheet Men-UNISEX row 497: {'3ml': 150, '5ml': 210, '8ml': 310, '10ml': 390} | For Women row 75: {'5ml': 170, '8ml': 240, '10ml': 320}",False,"{'3ml': 150, '5ml': 210, '8ml': 310, '10ml': 390}","{'5ml': 170, '8ml': 240, '10ml': 320}"
price disagreement,Maison Alhambra Bright Peach,,"Decant Sheet Men-UNISEX row 533: {'3ml': 130, '5ml': 180, '8ml': 250, '10ml': 310, '20ml': 580, '30ml': 710} | For Women row 98: {'3ml': 120, '5ml': 160, '8ml': 220, '10ml': 280, '20ml': 500, '30ml': 700}",False,"{'3ml': 130, '5ml': 180, '8ml': 250, '10ml': 310, '20ml': 580, '30ml': 710}","{'3ml': 120, '5ml': 160, '8ml': 220, '10ml': 280, '20ml': 500, '30ml': 700}"
price disagreement,Maison Alhambra Como Moiselle,,"Decant Sheet Men-UNISEX row 531: {'5ml': 130, '8ml': 180, '10ml': 240, '30ml': 510} | For Women row 96: {'5ml': 150, '8ml': 200, '10ml': 280, '30ml': 570} | For Women row 101: {'5ml': 130, '8ml': 190, '10ml': 240, '30ml': 690}",False,"{'5ml': 130, '8ml': 180, '10ml': 240, '30ml': 510}","{'5ml': 150, '8ml': 200, '10ml': 280, '30ml': 570}"
"listed twice, same prices",Maison Alhambra Kismet Magic,,"Decant Sheet Men-UNISEX row 525: {'3ml': 130, '5ml': 180, '8ml': 250, '10ml': 320, '20ml': 580, '30ml': 760} | For Women row 102: {'3ml': 130, '5ml': 180, '8ml': 250, '10ml': 320, '20ml': 580, '30ml': 760}",True,"{'3ml': 130, '5ml': 180, '8ml': 250, '10ml': 320, '20ml': 580, '30ml': 760}","{'3ml': 130, '5ml': 180, '8ml': 250, '10ml': 320, '20ml': 580, '30ml': 760}"
price disagreement,Maison Alhambra Lovely Cherry,,"Decant Sheet Men-UNISEX row 536: {'3ml': 130, '5ml': 180, '8ml': 250, '10ml': 310, '20ml': 580} | For Women row 94: {'3ml': 120, '5ml': 160, '8ml': 220, '10ml': 280, '20ml': 500}",False,"{'3ml': 130, '5ml': 180, '8ml': 250, '10ml': 310, '20ml': 580}","{'3ml': 120, '5ml': 160, '8ml': 220, '10ml': 280, '20ml': 500}"
price disagreement,Maison Alhambra Porto Neroli,,"Decant Sheet Men-UNISEX row 532: {'3ml': 130, '5ml': 180, '8ml': 250, '10ml': 310, '20ml': 580} | For Women row 97: {'3ml': 120, '5ml': 160, '8ml': 220, '10ml': 280, '20ml': 500, '30ml': 800}",False,"{'3ml': 130, '5ml': 180, '8ml': 250, '10ml': 310, '20ml': 580}","{'3ml': 120, '5ml': 160, '8ml': 220, '10ml': 280, '20ml': 500, '30ml': 800}"
price disagreement,Maison Alhambra Rose Petals,,"Decant Sheet Men-UNISEX row 537: {'3ml': 130, '5ml': 180, '8ml': 250, '10ml': 310, '20ml': 580} | For Women row 95: {'3ml': 120, '5ml': 170, '8ml': 240, '10ml': 310, '20ml': 540, '30ml': 710}",False,"{'3ml': 130, '5ml': 180, '8ml': 250, '10ml': 310, '20ml': 580}","{'3ml': 120, '5ml': 170, '8ml': 240, '10ml': 310, '20ml': 540, '30ml': 710}"
"listed twice, same prices",Maison Asrar Coffee Blend,,"Decant Sheet Men-UNISEX row 549: {'3ml': 190, '5ml': 260, '8ml': 390, '10ml': 480} | For Women row 103: {'3ml': 190, '5ml': 260, '8ml': 390, '10ml': 480}",True,"{'3ml': 190, '5ml': 260, '8ml': 390, '10ml': 480}","{'3ml': 190, '5ml': 260, '8ml': 390, '10ml': 480}"
"listed twice, same prices",Maison Asrar Unsolved Mystery,,"Decant Sheet Men-UNISEX row 559: {'3ml': 210, '5ml': 300, '8ml': 460, '10ml': 560} | For Women row 107: {'3ml': 210, '5ml': 300, '8ml': 460, '10ml': 560}",True,"{'3ml': 210, '5ml': 300, '8ml': 460, '10ml': 560}","{'3ml': 210, '5ml': 300, '8ml': 460, '10ml': 560}"
"listed twice, same prices",Maison Asrar Vanilla Aura,,"Decant Sheet Men-UNISEX row 550: {'3ml': 150, '5ml': 220, '8ml': 320, '10ml': 400, '20ml': 740} | For Women row 105: {'3ml': 150, '5ml': 220, '8ml': 320, '10ml': 400, '20ml': 740}",True,"{'3ml': 150, '5ml': 220, '8ml': 320, '10ml': 400, '20ml': 740}","{'3ml': 150, '5ml': 220, '8ml': 320, '10ml': 400, '20ml': 740}"
"listed twice, same prices",Maison Asrar Vanilla Voyage,,"Decant Sheet Men-UNISEX row 551: {'3ml': 150, '5ml': 210, '8ml': 300, '10ml': 380} | For Women row 106: {'3ml': 150, '5ml': 210, '8ml': 300, '10ml': 380}",True,"{'3ml': 150, '5ml': 210, '8ml': 300, '10ml': 380}","{'3ml': 150, '5ml': 210, '8ml': 300, '10ml': 380}"
"listed twice, same prices",Maison Asrar Veyra,,"Decant Sheet Men-UNISEX row 560: {'3ml': 220, '5ml': 320, '8ml': 490, '10ml': 600} | For Women row 108: {'3ml': 220, '5ml': 320, '8ml': 490, '10ml': 600}",True,"{'3ml': 220, '5ml': 320, '8ml': 490, '10ml': 600}","{'3ml': 220, '5ml': 320, '8ml': 490, '10ml': 600}"
price disagreement,Mancera Cedrat Boise,,"Decant Sheet Men-UNISEX row 1023: {'3ml': 280, '5ml': 420, '8ml': 640, '10ml': 790, '20ml': 1420, '30ml': 2050} | For Women row 256: {'3ml': 240, '5ml': 360, '8ml': 520, '10ml': 660}",False,"{'3ml': 280, '5ml': 420, '8ml': 640, '10ml': 790, '20ml': 1420, '30ml': 2050}","{'3ml': 240, '5ml': 360, '8ml': 520, '10ml': 660}"
price disagreement,Mancera Instant Crush,,"Decant Sheet Men-UNISEX row 1020: {'3ml': 280, '5ml': 420, '8ml': 640, '10ml': 790, '20ml': 1420, '30ml': 2050} | For Women row 255: {'3ml': 260, '5ml': 370, '8ml': 560, '10ml': 660}",False,"{'3ml': 280, '5ml': 420, '8ml': 640, '10ml': 790, '20ml': 1420, '30ml': 2050}","{'3ml': 260, '5ml': 370, '8ml': 560, '10ml': 660}"
"listed twice, same prices",Missoni Missoni Wave,,"Decant Sheet Men-UNISEX row 1050: {'3ml': 230, '5ml': 340, '8ml': 520, '10ml': 640} | New Decant Additions row 56: {'3ml': 230, '5ml': 340, '8ml': 520, '10ml': 640}",True,"{'3ml': 230, '5ml': 340, '8ml': 520, '10ml': 640}","{'3ml': 230, '5ml': 340, '8ml': 520, '10ml': 640}"
"listed twice, same prices",Montale Risterreto Intense Cafe,,"Decant Sheet Men-UNISEX row 1058: {'3ml': 270, '5ml': 420, '8ml': 680, '10ml': 800} | For Women row 248: {'3ml': 270, '5ml': 420, '8ml': 680, '10ml': 800}",True,"{'3ml': 270, '5ml': 420, '8ml': 680, '10ml': 800}","{'3ml': 270, '5ml': 420, '8ml': 680, '10ml': 800}"
price disagreement,Paco Rabanne Pure XS,,"Decant Sheet Men-UNISEX row 1080: {'3ml': 160, '5ml': 240, '8ml': 380, '10ml': 480} | Decant Sheet Men-UNISEX row 1088: {'3ml': 200, '5ml': 290, '8ml': 450, '10ml': 550, '20ml': 940, '30ml': 1330}",False,"{'3ml': 160, '5ml': 240, '8ml': 380, '10ml': 480}","{'3ml': 200, '5ml': 290, '8ml': 450, '10ml': 550, '20ml': 940, '30ml': 1330}"
"listed twice, same prices",Parfums de Marly Delina Exclusif,,"For Women row 268: {'3ml': 700, '5ml': 1120, '8ml': 1780, '10ml': 2200} | New Decant Additions row 107: {'3ml': 700, '5ml': 1120, '8ml': 1780, '10ml': 2200}",True,"{'3ml': 700, '5ml': 1120, '8ml': 1780, '10ml': 2200}","{'3ml': 700, '5ml': 1120, '8ml': 1780, '10ml': 2200}"
price disagreement,Paris Corner December Vanilla,,"Decant Sheet Men-UNISEX row 600: {'5ml': 150, '8ml': 210, '10ml': 280, '30ml': 720} | For Women row 114: {'3ml': 120, '5ml': 170, '8ml': 240, '10ml': 310, '20ml': 540, '30ml': 710}",False,"{'5ml': 150, '8ml': 210, '10ml': 280, '30ml': 720}","{'3ml': 120, '5ml': 170, '8ml': 240, '10ml': 310, '20ml': 540, '30ml': 710}"
price disagreement,Paris Corner Emir Celestial,,"Decant Sheet Men-UNISEX row 612: {'5ml': 140, '8ml': 200, '10ml': 270} | Decant Sheet Men-UNISEX row 632: {'3ml': 130, '5ml': 190, '8ml': 270, '10ml': 340}",False,"{'5ml': 140, '8ml': 200, '10ml': 270}","{'3ml': 130, '5ml': 190, '8ml': 270, '10ml': 340}"
price disagreement,Paris Corner Emir Cherry Cola,,"Decant Sheet Men-UNISEX row 611: {'5ml': 150, '8ml': 210, '10ml': 280, '30ml': 759} | For Women row 117: {'5ml': 150, '8ml': 220, '10ml': 280}",False,"{'5ml': 150, '8ml': 210, '10ml': 280, '30ml': 759}","{'5ml': 150, '8ml': 220, '10ml': 280}"
one copy lists more sizes,Paris Corner Emir Fire Your Desire,,"Decant Sheet Men-UNISEX row 623: {'5ml': 130, '8ml': 190, '10ml': 240, '30ml': 769} | For Women row 122: {'5ml': 130, '8ml': 190, '10ml': 240}",False,"{'5ml': 130, '8ml': 190, '10ml': 240, '30ml': 769}","{'5ml': 130, '8ml': 190, '10ml': 240}"
price disagreement,Paris Corner Eternal coffee,,"Decant Sheet Men-UNISEX row 586: {'5ml': 130, '8ml': 190, '10ml': 240, '30ml': 550} | For Women row 113: {'5ml': 130, '8ml': 190, '10ml': 240, '30ml': 880}",False,"{'5ml': 130, '8ml': 190, '10ml': 240, '30ml': 550}","{'5ml': 130, '8ml': 190, '10ml': 240, '30ml': 880}"
"listed twice, same prices",Paris Corner Khair,,"Decant Sheet Men-UNISEX row 595: {'3ml': 110, '5ml': 150, '8ml': 210, '10ml': 270, '20ml': 480, '30ml': 610} | For Women row 123: {'3ml': 110, '5ml': 150, '8ml': 210, '10ml': 270, '20ml': 480, '30ml': 610}",True,"{'3ml': 110, '5ml': 150, '8ml': 210, '10ml': 270, '20ml': 480, '30ml': 610}","{'3ml': 110, '5ml': 150, '8ml': 210, '10ml': 270, '20ml': 480, '30ml': 610}"
"listed twice, same prices",Paris Corner Khair Confection,,"Decant Sheet Men-UNISEX row 598: {'3ml': 110, '5ml': 150, '8ml': 210, '10ml': 270, '20ml': 480, '30ml': 610} | For Women row 126: {'3ml': 110, '5ml': 150, '8ml': 210, '10ml': 270, '20ml': 480, '30ml': 610}",True,"{'3ml': 110, '5ml': 150, '8ml': 210, '10ml': 270, '20ml': 480, '30ml': 610}","{'3ml': 110, '5ml': 150, '8ml': 210, '10ml': 270, '20ml': 480, '30ml': 610}"
"listed twice, same prices",Paris Corner Khair Felicity,,"Decant Sheet Men-UNISEX row 599: {'3ml': 110, '5ml': 150, '8ml': 210, '10ml': 270, '20ml': 480, '30ml': 610} | For Women row 127: {'3ml': 110, '5ml': 150, '8ml': 210, '10ml': 270, '20ml': 480, '30ml': 610}",True,"{'3ml': 110, '5ml': 150, '8ml': 210, '10ml': 270, '20ml': 480, '30ml': 610}","{'3ml': 110, '5ml': 150, '8ml': 210, '10ml': 270, '20ml': 480, '30ml': 610}"
"listed twice, same prices",Paris Corner Khair Fusion,,"Decant Sheet Men-UNISEX row 597: {'3ml': 110, '5ml': 150, '8ml': 210, '10ml': 270, '20ml': 480, '30ml': 610} | For Women row 125: {'3ml': 110, '5ml': 150, '8ml': 210, '10ml': 270, '20ml': 480, '30ml': 610}",True,"{'3ml': 110, '5ml': 150, '8ml': 210, '10ml': 270, '20ml': 480, '30ml': 610}","{'3ml': 110, '5ml': 150, '8ml': 210, '10ml': 270, '20ml': 480, '30ml': 610}"
"listed twice, same prices",Paris Corner Khair Pistachio,,"Decant Sheet Men-UNISEX row 596: {'3ml': 110, '5ml': 150, '8ml': 210, '10ml': 270, '20ml': 480, '30ml': 610} | For Women row 124: {'3ml': 110, '5ml': 150, '8ml': 210, '10ml': 270, '20ml': 480, '30ml': 610}",True,"{'3ml': 110, '5ml': 150, '8ml': 210, '10ml': 270, '20ml': 480, '30ml': 610}","{'3ml': 110, '5ml': 150, '8ml': 210, '10ml': 270, '20ml': 480, '30ml': 610}"
price disagreement,Pendora Scents Enchantment Blue Intense,,"Decant Sheet Men-UNISEX row 638: {'5ml': 130, '8ml': 180, '10ml': 240, '20ml': 420, '30ml': 550} | For Women row 130: {'5ml': 130, '8ml': 190, '10ml': 240}",False,"{'5ml': 130, '8ml': 180, '10ml': 240, '20ml': 420, '30ml': 550}","{'5ml': 130, '8ml': 190, '10ml': 240}"
